user_id,O_Score,C_Score,E_Score,A_Score,N_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-A and C,Users-less-mean-C,Users-High-mean-N,Team_CPB-I-median,Team_CPB-O-median,No-JobState-in-Team,Dpt-CPB-I-mean,Dpt_CPB-O-mean,Dpt-Less-A-mean,Dpt-Less-AC-mean,Dpt-less-C-mean,Dpt-High-N-mean,Dpt_CPB-I-median,Dpt_CPB-O-median,No-JobState-in-Dpt,Job State,Leader_CPB-I,Leader_CPB-O
MMK1532,17.0,17.0,16.0,22.0,28.0,-14.9717333333,-19.38576,16,7,12,16,-16.94,-18.686,0,-15.617477707,-19.3226853503,89,39,59,90,-17.424,-17.7936,11,18,-11.132,-12.7548,
NTB0710,46.0,37.0,32.0,22.0,21.0,-15.2621333333,-18.3476533333,10,4,6,7,-16.456,-15.9384,3,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,18,-20.812,-29.7468,
MTD0971,22.0,38.0,17.0,39.0,40.0,-17.0045333333,-22.7963466667,5,2,4,8,-17.424,-24.5536,2,-15.500626087,-20.6300069565,51,30,51,54,-16.456,-22.1784,12,10,-5.808,-14.2512,
NHB1529,41.0,40.0,20.0,44.0,25.0,-14.6006666667,-18.8912666667,17,8,13,16,-16.214,-18.4646,0,-15.617477707,-19.3226853503,89,39,59,90,-17.424,-17.7936,11,18,-11.132,-12.7548,
HBW0057,35.0,33.0,43.0,44.0,29.0,0,0,0,0,0,0,0,0,0,-15.004,-20.1756,3,1,2,1,-16.698,-19.3922,2,17,-6.292,-19.5988,
PLM1716,23.0,17.0,13.0,36.0,34.0,-14.278,-16.8342,21,9,15,18,-15.488,-16.1632,4,-15.3153630573,-19.5319541401,84,33,63,80,-17.424,-19.3536,20,18,-6.292,-17.5188,
UKG0386,46.0,34.0,42.0,44.0,21.0,-15.4396,-20.46444,14,6,12,14,-16.698,-22.2522,5,-15.121975,-19.2528275,82,38,70,74,-16.698,-19.3922,17,18,-18.876,-31.7564,
GLC1055,15.0,48.0,40.0,17.0,29.0,-15.9881333333,-19.5743866667,16,6,13,17,-17.424,-18.8336,4,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-14.036,-16.7604,
UCD0608,18.0,46.0,13.0,16.0,28.0,-14.6168,-20.55152,11,7,9,13,-17.666,-19.1674,2,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-5.324,-21.9036,
CBN1983,46.0,38.0,32.0,28.0,15.0,-13.4137142857,-18.8734857143,7,4,10,6,-12.584,-18.3976,0,-14.84428,-19.726492,50,29,52,54,-15.004,-19.3956,8,18,-5.324,-18.7836,
WFV0687,39.0,42.0,35.0,21.0,38.0,-13.2858,-18.42962,11,6,10,10,-14.036,-17.8004,7,-14.4877333333,-18.6834933333,34,14,27,36,-16.214,-17.9446,16,10,-5.808,-10.0912,
ECD1434,40.0,45.0,36.0,13.0,36.0,-14.4716,-20.7759066667,14,7,14,17,-16.456,-21.3984,3,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,18,-11.132,-11.1948,
PCK0271,46.0,34.0,23.0,42.0,24.0,-13.4794,-17.94266,12,6,10,11,-14.036,-17.2804,7,-14.4877333333,-18.6834933333,34,14,27,36,-16.214,-17.9446,16,12,-5.808,-10.0912,
TAG1610,40.0,11.0,24.0,23.0,30.0,-14.8104,-19.2152266667,15,6,13,17,-16.456,-19.3184,7,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,6,-16.94,-22.326,
WTC0699,13.0,20.0,41.0,45.0,31.0,-13.6488,-20.8716533333,7,5,9,6,-11.616,-21.2224,0,-15.1953488372,-20.6511627907,37,20,39,41,-17.424,-22.4736,12,18,-13.068,-14.9052,
TRB1093,44.0,43.0,24.0,34.0,29.0,-15.5364,-19.1072933333,17,7,11,17,-17.666,-18.6474,6,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,18,-4.84,-20.716,
ASB0658,36.0,19.0,40.0,30.0,32.0,-16.4076,-19.9623066667,17,7,10,11,-18.634,-18.1626,5,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,18,-11.132,-16.3948,
DAC1641,36.0,45.0,26.0,46.0,36.0,-14.1650666667,-18.9144266667,18,12,16,20,-13.552,-16.6128,4,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,18,-8.228,-21.2292,
SNC1721,50.0,33.0,14.0,14.0,28.0,-14.0198666667,-17.1368133333,20,9,16,19,-14.52,-15.868,4,-15.3153630573,-19.5319541401,84,33,63,80,-17.424,-19.3536,20,18,-6.292,-17.5188,
UAM1108,19.0,38.0,30.0,41.0,30.0,-15.6170666667,-19.01056,17,7,11,16,-17.666,-18.6474,5,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,7,-4.84,-20.716,
DNW0899,43.0,10.0,15.0,42.0,30.0,-15.3186,-19.25754,11,4,7,13,-18.392,-18.0888,6,-14.4877333333,-18.6834933333,34,14,27,36,-16.214,-17.9446,16,18,-19.844,-14.8916,
